duan.Label-Analysis(4),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,,,
1472,601.558,14.1136,2510.43,1157.36,999.105,1,,,,,,14.1136
31744,6126.78,39.2845,2503.08,1225.3,1033.99,2,,,,,,39.2845
1600,631.191,14.5113,3789.52,1267.26,998.291,3,,,,,,14.5113
1536,613.426,14.3152,2526.29,1415.77,998.098,4,,,,,,14.3152
7936,1968.7,24.7477,2625.05,1669.49,1004.77,5,,,,,,24.7477
644608,38464.4,107.176,2800.46,2095.69,1052.15,6,,,,,,107.176
2432,861.748,16.6848,4022.32,2717.1,1002.3,7,,,,,,16.6848
1536,628.486,14.3152,2532.96,3438.1,999.931,8,,,,,,14.3152
1408,619.885,13.906,3104.77,3687.65,1000.2,9,,,,,,13.906
1728,681.858,14.8884,4131.25,4241.47,1001.89,10,,,,,,14.8884
4160,1492.7,19.9541,3900.49,4328.64,1000.96,11,,,,,,19.9541
3648,1133.91,19.0994,3855.94,4385.28,1002.02,12,,,,,,19.0994
1664,664.094,14.7023,3806.03,1054.95,1003.55,13,,,,,,14.7023
1408,586.42,13.906,2334.23,1206.19,1002.93,14,,,,,,13.906
1664,670.016,14.7023,3704.8,1244.8,1001.24,15,,,,,,14.7023
6656,1773.06,23.3384,2989.73,1412.99,1008.09,16,,,,,,23.3384
41664,6324.2,43.0118,3311.37,1421.19,1021.23,17,,,,,,43.0118
1536,618.471,14.3152,2983.46,1655.6,1003.6,18,,,,,,14.3152
5120,1478.47,21.3841,2437.51,1657,1010.18,19,,,,,,21.3841
1664,664.042,14.7023,2315.26,1695.26,1005.55,20,,,,,,14.7023
1920,733.194,15.4206,2293.49,1773.37,1004.26,21,,,,,,15.4206
3008,993.54,17.9099,3976.06,3764.55,1004.63,22,,,,,,17.9099
1856,742.646,15.2473,2447.09,3838.41,1006.66,23,,,,,,15.2473
47104,6538.02,44.8077,2483.78,3911,1020.15,24,,,,,,44.8077
87424,9801.09,55.0652,2780.41,4114.4,1025.03,25,,,,,,55.0652
3968,1236.23,19.6422,3067.99,4156.84,1007,26,,,,,,19.6422
38592,5795.85,41.9276,2484.06,4549.32,1018.85,27,,,,,,41.9276
1664,652.382,14.7023,3278.19,1124.64,1006.78,28,,,,,,14.7023
31168,5126.82,39.0454,2229.12,1248.22,1022.83,29,,,,,,39.0454
183744,21920.2,70.535,2749.76,1261.49,1037.57,30,,,,,,70.535
1728,669.964,14.8884,3917.77,1304.58,1006.49,31,,,,,,14.8884
2112,828.097,15.9184,2551.56,1304.92,1008.99,32,,,,,,15.9184
1600,643.834,14.5113,2434.16,1381.82,1007.41,33,,,,,,14.5113
1920,832.088,15.4206,3699.09,1556.17,1006,34,,,,,,15.4206
4032,1376.98,19.7473,2079.34,1565.77,1015.63,35,,,,,,19.7473
1536,622.643,14.3152,2356.46,1727.1,1007.1,36,,,,,,14.3152
4672,1361.22,20.7412,2611.34,2143.43,1013.34,37,,,,,,20.7412
30976,4908.74,38.9651,3270.07,2296.41,1021.53,38,,,,,,38.9651
5120,1426.6,21.3841,3450.36,2607.35,1010.63,39,,,,,,21.3841
3008,1002.17,17.9099,3961.17,2993.32,1010.17,40,,,,,,17.9099
17920,3432.55,32.4673,3079.74,3733.09,1018.25,41,,,,,,32.4673
1792,684.106,15.07,2338.96,3783.25,1007.22,42,,,,,,15.07
5248,1470.46,21.5608,4112.66,4021.64,1012.74,43,,,,,,21.5608
1728,710.307,14.8884,3054.36,4216.44,1007.52,44,,,,,,14.8884
20480,3667.21,33.9451,3584.76,4492.87,1020.29,45,,,,,,33.9451
8128,1986.36,24.9457,4174.48,4526.54,1012.1,46,,,,,,24.9457
2240,838.034,16.2337,2400.78,4571.67,1009.67,47,,,,,,16.2337
7680,1888.12,24.4787,3825.32,4591.8,1014.56,48,,,,,,24.4787
6080,1634.55,22.6448,3095.08,4735.78,1014.72,49,,,,,,22.6448
1408,605.547,13.906,2438.23,1723.83,1012.75,50,,,,,,13.906
3392,1070.71,18.6417,2708.54,2024.08,1012.06,51,,,,,,18.6417
1536,625.939,14.3152,3999.12,3041.77,1011.76,52,,,,,,14.3152
2176,797.82,16.0776,2737.78,3840.51,1011.64,53,,,,,,16.0776
2240,811.184,16.2337,2342.16,3953.62,1014.25,54,,,,,,16.2337
52992,7048.27,46.6019,4129.05,4289.03,1029.44,55,,,,,,46.6019
1536,631.27,14.3152,2378.29,4324.94,1011.93,56,,,,,,14.3152
3776,1215.09,19.3202,3604.65,4527.51,1013.51,57,,,,,,19.3202
2560,1050.98,16.9726,3417.56,4541.8,1013.03,58,,,,,,16.9726
26752,4680.77,37.1067,2957.69,4623.75,1027.47,59,,,,,,37.1067
84608,13539.9,54.4675,3635.57,4676.11,1038.97,60,,,,,,54.4675
12224,2587.23,28.5806,3672.57,1405.32,1024.52,61,,,,,,28.5806
37312,5443.18,41.4588,3739.33,2361.73,1029.94,62,,,,,,41.4588
4864,1390.81,21.0216,2814.06,3685.37,1021.83,63,,,,,,21.0216
1728,691.874,14.8884,3950.96,3943.7,1015.23,64,,,,,,14.8884
45248,6303.6,44.2113,3369.9,4105.42,1032,65,,,,,,44.2113
120384,12199.1,61.2619,2943.3,4126.65,1040.47,66,,,,,,61.2619
3520,1101.73,18.8733,4163.9,4214.01,1016.24,67,,,,,,18.8733
1856,728.071,15.2473,3963.37,4406,1016.72,68,,,,,,15.2473
792960,43259.5,114.838,3117.02,4495.85,1067.54,69,,,,,,114.838
27968,5399.35,37.6606,3196.87,4717.57,1026.98,70,,,,,,37.6606
2560,926.937,16.9726,2449.96,962.903,1018.33,71,,,,,,16.9726
206912,19709.6,73.383,3130.99,1065.32,1063.52,72,,,,,,73.383
