chushi.resampled.Label-Analysis,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,
1408,589.767,13.906,3909.68,909.648,998.75,1,,,13.906
2112,772.177,15.9184,3728.65,1248.07,1000.39,2,,,15.9184
8128,1978.62,24.9457,2239.33,1265.5,1004.32,3,,,24.9457
1792,696.919,15.07,3753.38,1321.25,999.074,4,,,15.07
3520,1088.52,18.8733,2328.19,2660.48,1002.06,5,,,18.8733
2368,833.966,16.5372,2343.71,3789.7,1000.99,6,,,16.5372
2112,794.448,15.9184,3386.23,4039.22,999.053,7,,,15.9184
2240,805.235,16.2337,2681.13,4743.67,1000.65,8,,,16.2337
10112,2793.3,26.8295,2519.56,4791.23,1008.48,9,,,26.8295
1408,575.348,13.906,3682.96,4847.1,1001.48,10,,,13.906
20992,3731.95,34.2257,3186.92,4881.07,1011.52,11,,,34.2257
2880,967.097,17.6522,3067.76,4894.57,1003.55,12,,,17.6522
6784,1718.7,23.4871,2284.58,4914.46,1004.25,13,,,23.4871
6720,2030.41,23.413,3148.52,961.084,1010.7,14,,,23.413
1344,577.844,13.692,2466,1112.25,1003.5,15,,,13.692
1728,703.717,14.8884,2425.62,1204.88,1004.71,16,,,14.8884
105344,13245.5,58.5963,3335.77,1308.88,1031.42,17,,,58.5963
14080,2876.23,29.9595,2653.25,1682.59,1013.26,18,,,29.9595
2240,813.6,16.2337,2374.84,3606.07,1003.96,19,,,16.2337
1984,745.836,15.5901,3343.86,4225.17,1005.64,20,,,15.5901
1408,582.915,13.906,2920.59,4350.74,1004.57,21,,,13.906
1600,649.729,14.5113,2944.24,4373.02,1006.29,22,,,14.5113
4544,1336.79,20.5501,3655.07,4808.85,1009.35,23,,,20.5501
11712,3032.68,28.1759,2211.87,4865.31,1015.06,24,,,28.1759
2688,911.667,17.2508,2758.48,4889.01,1005.69,25,,,17.2508
318912,24888.7,84.7665,2526.56,1071.31,1043.15,26,,,84.7665
1728,766.922,14.8884,2241.18,1240.58,1010.34,27,,,14.8884
5184,1440.72,21.4728,3987.3,1279.6,1010.68,28,,,21.4728
4928,1394.95,21.1134,3736.15,1296.4,1012.33,29,,,21.1134
15680,3109.87,31.0539,3475.69,1607.32,1016.34,30,,,31.0539
156288,17984.4,66.8307,3653.43,2052.14,1042.09,31,,,66.8307
15424,3098.96,30.884,3305.03,2600.5,1016.79,32,,,30.884
43008,7318.23,43.4694,3118.67,3072.79,1027.4,33,,,43.4694
2112,762.855,15.9184,2829.14,3969.53,1009.36,34,,,15.9184
20032,3625.64,33.6958,2350.87,4055.84,1018.13,35,,,33.6958
99648,11127,57.5206,3341.59,4503.58,1030.2,36,,,57.5206
2240,807.732,16.2337,2456.78,4848.47,1010.82,37,,,16.2337
382144,30960.7,90.0346,3821.01,4954.81,1052.82,38,,,90.0346
87168,9799.68,55.0114,3166.56,5080.81,1026.64,39,,,55.0114
49216,7215.9,45.4677,2202.46,935.529,1027.3,40,,,45.4677
16576,3226,31.6345,3387.02,1078.05,1021.11,41,,,31.6345
1344,562.68,13.692,3155.34,1577.96,1011.69,42,,,13.692
17088,3224.01,31.9569,2901.62,2866.68,1021.45,43,,,31.9569
13696,2800.56,29.6846,2587.22,3159.96,1022.35,44,,,29.6846
1472,592.367,14.1136,2590.96,3802.58,1011.8,45,,,14.1136
1856,697.103,15.2473,3932.75,4029.03,1011.9,46,,,15.2473
5952,1588.3,22.4848,3196.2,4176.09,1016.35,47,,,22.4848
3520,1100.26,18.8733,3264.34,4297.36,1013.11,48,,,18.8733
1344,556.76,13.692,2962.38,4564.82,1011.69,49,,,13.692
43712,6224.65,43.7053,2585.22,4700.97,1027.46,50,,,43.7053
4288,1256.38,20.1567,3775.97,4757.97,1014.51,51,,,20.1567
210624,17873.5,73.8193,3942.26,4801.81,1044.2,52,,,73.8193
1408,574.602,13.906,3666.41,4894.92,1012.02,53,,,13.906
2880,971.525,17.6522,3363.76,5062.57,1013.69,54,,,17.6522
1856,718.004,15.2473,2995.51,5104.48,1010.79,55,,,15.2473
2560,902.476,16.9726,2789.96,1171.9,1017.73,56,,,16.9726
3648,1166.94,19.0994,2802.32,2151.73,1018.79,57,,,19.0994
9728,2203.26,26.4855,4020.88,2791.26,1022.38,58,,,26.4855
1472,655.521,14.1136,2263.13,3491.28,1018.06,59,,,14.1136
1344,556.76,13.692,3354.38,3724.82,1015.69,60,,,13.692
1600,625.271,14.5113,2890.96,4240.38,1014.77,61,,,14.5113
1856,812.521,15.2473,3330.13,4951.1,1017,62,,,15.2473
4480,1297.94,20.4531,3494.16,4958.07,1020.13,63,,,20.4531
36416,5869.18,41.1242,2559.64,4996.74,1031.15,64,,,41.1242
2880,959.917,17.6522,2763.4,764.347,1021.06,65,,,17.6522
2368,843.903,16.5372,2844.69,970.238,1021.74,66,,,16.5372
1600,649.703,14.5113,2953.36,1038.3,1018.29,67,,,14.5113
1472,601.558,14.1136,3113.04,1375.28,1018.41,68,,,14.1136
7616,1934.36,24.4105,2335.09,1740.75,1025.96,69,,,24.4105
80384,12044.9,53.5456,2881.84,3441.28,1038.13,70,,,53.5456
8320,1951.35,25.1406,3949.26,3752.15,1024.75,71,,,25.1406
1344,559.281,13.692,3195.15,3950.72,1021.98,72,,,13.692
1408,580.366,13.906,3515.32,4036.19,1021.84,73,,,13.906
13888,2861.6,29.8227,2684.15,4409.15,1027.69,74,,,29.8227
2496,850.061,16.8299,3760.6,4449.56,1020.16,75,,,16.8299
1792,688.579,15.07,2349.67,4798.96,1021.36,76,,,15.07
1344,665.458,13.692,2982.96,4891.67,1017.6,77,,,13.692
2688,913.215,17.2508,3078,5169.96,1022.07,78,,,17.2508
3264,1239.47,18.4042,2733.94,1091.81,1028.66,79,,,18.4042
2112,801.705,15.9184,3934.47,1170.62,1024.26,80,,,15.9184
1536,635.075,14.3152,2441.29,1200.1,1022.76,81,,,14.3152
2304,847.304,16.3868,3124.07,1659.21,1026.15,82,,,16.3868
16256,3470.17,31.4296,2769.27,2059.75,1035.18,83,,,31.4296
9280,2199.88,26.0725,3531.09,2909.97,1032.26,84,,,26.0725
17408,3253.62,32.1551,2464.5,3304.88,1034.03,85,,,32.1551
4672,1331.64,20.7412,3747.56,3702.12,1026.38,86,,,20.7412
17024,3209,31.9169,3717.33,4137.58,1031.35,87,,,31.9169
1536,622.565,14.3152,2637.46,4429.94,1023.43,88,,,14.3152
3200,1031.83,18.2831,2301.52,4437.02,1026.13,89,,,18.2831
1408,577.951,13.906,3638.77,4460.56,1022.57,90,,,13.906
2432,862.388,16.6848,2858.43,4703.31,1023.67,91,,,16.6848
1984,739.247,15.5901,2349.54,4904.26,1024.74,92,,,15.5901
1728,697.822,14.8884,2794.22,685.325,1026.34,93,,,14.8884
1600,622.028,14.5113,3334.8,1070.94,1030.13,94,,,14.5113
5248,1434.16,21.5608,3542.22,1706.81,1034.79,95,,,21.5608
357184,30110.5,88.0301,2329,1822.49,1074.38,96,,,88.0301
20672,3903.53,34.0509,3609.94,2126.87,1039.17,97,,,34.0509
5568,1540.57,21.9904,3044.06,2130.73,1033.23,98,,,21.9904
52032,7090.52,46.3188,2857.99,2227.41,1044.21,99,,,46.3188
24064,4109.78,35.8198,2432.16,3812.33,1039.02,100,,,35.8198
1472,595.635,14.1136,3223.48,4362.58,1029.02,101,,,14.1136
1984,735.953,15.5901,3710.57,4455.62,1027.19,102,,,15.5901
4032,1218.25,19.7473,2901.12,4488.82,1030.68,103,,,19.7473
142336,15131.3,64.7797,2516.29,4600.8,1056.01,104,,,64.7797
3136,1181.36,18.1604,2178.06,4617.55,1034.69,105,,,18.1604
4672,1338.35,20.7412,2373.7,5119.71,1030.33,106,,,20.7412
1600,656.241,14.5113,2582,1482.62,1032.05,107,,,14.5113
2368,832.269,16.5372,3228.04,3873.59,1031.47,108,,,16.5372
6528,1670.79,23.1879,3435,4064.79,1035.68,109,,,23.1879
1856,706.212,15.2473,2675.92,4128.48,1033.55,110,,,15.2473
4544,1298.89,20.5501,3114.96,4131.05,1035.78,111,,,20.5501
226240,22066.1,75.6003,2629.35,4198.96,1065.82,112,,,75.6003
3136,996.273,18.1604,2230.71,4213.47,1032.56,113,,,18.1604
24128,4001.1,35.8515,2407.18,4260.73,1042.89,114,,,35.8515
1792,685.259,15.07,3211.81,4451.25,1032.93,115,,,15.07
1984,738.579,15.5901,2228.38,4879.1,1031.45,116,,,15.5901
1344,595.583,13.692,3854.96,1001.96,1033.79,117,,,13.692
7552,1947.51,24.3419,2408.75,1011.24,1039.17,118,,,24.3419
1472,607.4,14.1136,3586.43,1212.32,1034.41,119,,,14.1136
2432,841.38,16.6848,3967.8,1229.42,1036.51,120,,,16.6848
19904,3638.47,33.6238,2245.94,1471.09,1048.31,121,,,33.6238
7808,1907.22,24.6139,3373.22,1629.27,1040.21,122,,,24.6139
3776,1170.99,19.3202,3178.48,1984.26,1037.91,123,,,19.3202
2240,801.943,16.2337,3595.76,2082.65,1037.1,124,,,16.2337
12416,2756.02,28.7295,3660.92,2570.69,1046.07,125,,,28.7295
13056,2716.01,29.2149,3197.15,2800.04,1043.32,126,,,29.2149
2304,829.645,16.3868,3418.29,3015.88,1037.49,127,,,16.3868
11392,2469.28,27.9169,2294.44,3680.5,1043.11,128,,,27.9169
1728,770.218,14.8884,2307.55,4023.25,1036.71,129,,,14.8884
5824,1550.87,22.3224,2566.65,4084.16,1039.11,130,,,22.3224
10944,2353.74,27.546,2529.2,4257.56,1043,131,,,27.546
1472,585.751,14.1136,2867.3,4895.1,1035.28,132,,,14.1136
111552,11846.8,59.7255,2312.3,4989.15,1057.92,133,,,59.7255
2048,751.143,15.7559,3954.71,1094.1,1039.68,134,,,15.7559
2112,786.541,15.9184,3967.8,1260.19,1039.78,135,,,15.9184
1664,652.355,14.7023,3756.96,1335.1,1038.01,136,,,14.7023
6784,1760.75,23.4871,2557.37,2033.97,1044.52,137,,,23.4871
3136,1030,18.1604,3566.79,3874.53,1041.05,138,,,18.1604
124032,14786.1,61.8745,2947.39,3954.28,1068.49,139,,,61.8745
1664,658.093,14.7023,2880.8,4146.49,1040.78,140,,,14.7023
151616,14998.5,66.158,2245.64,4269.39,1065.81,141,,,66.158
2304,811.105,16.3868,2672.96,4360.33,1041.49,142,,,16.3868
2304,846.53,16.3868,2396.62,4473.66,1040.93,143,,,16.3868
