2(3).Resampled(3).Label-Analysis(3),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,Materials,,,,,
4608,1317.22,20.6461,3595.4,691.714,1004.21,1,,,,,,20.6461
5504,1455.59,21.9058,2766.68,727.754,1002.28,2,,,,,,21.9058
265408,26973.2,79.7331,3028.99,888.712,1054.03,3,,,,,,79.7331
1728,676.816,14.8884,3770.07,990.066,1001.01,4,,,,,,14.8884
3904,1165.3,19.5361,3801.25,991.627,1003.59,5,,,,,,19.5361
172352,23303.9,69.0461,3037.26,1029.08,1034.04,6,,,,,,69.0461
1408,586.34,13.906,2387.32,1235.28,1000.93,7,,,,,,13.906
1408,577.951,13.906,3502.23,1369.65,999.113,8,,,,,,13.906
4416,1503.77,20.3553,2463.36,1648.15,1005.19,9,,,,,,20.3553
1472,612.627,14.1136,3202.96,1822.93,1002.58,10,,,,,,14.1136
2624,912.468,17.1128,3143.83,1873.93,1002.05,11,,,,,,17.1128
2496,866.593,16.8299,3613.21,2147.21,1001.19,12,,,,,,16.8299
1984,745.943,15.5901,3412.5,2445.43,1002.67,13,,,,,,15.5901
6144,1622.7,22.724,2697.12,4180.81,1003.06,14,,,,,,22.724
1408,571.439,13.906,2630.59,4442.19,998.568,15,,,,,,13.906
2432,850.034,16.6848,3545.8,4587.73,1001.67,16,,,,,,16.6848
223680,18443.5,75.3141,2440.6,4794.44,1028.57,17,,,,,,75.3141
4480,1272.22,20.4531,3840.96,974.36,1007.5,18,,,,,,20.4531
39936,5708.38,42.4087,3217.95,1186.94,1017.76,19,,,,,,42.4087
1856,709.614,15.2473,4012.75,1272.21,1004.03,20,,,,,,15.2473
3008,975.188,17.9099,3598.28,1321.23,1004.8,21,,,,,,17.9099
1600,634.408,14.5113,3781.52,1570.14,1005.49,22,,,,,,14.5113
1408,608.146,13.906,3100.05,1654.74,1003.84,23,,,,,,13.906
3712,1113.62,19.2104,2851.09,1975.38,1004.93,24,,,,,,19.2104
2624,902.399,17.1128,2248.22,2095.1,1005.57,25,,,,,,17.1128
5248,1462.05,21.5608,3750.96,2601.59,1010.49,26,,,,,,21.5608
2624,894.164,17.1128,2812.32,3248.57,1003.71,27,,,,,,17.1128
2688,924.309,17.2508,2726.67,3537.77,1005.79,28,,,,,,17.2508
4416,1435.47,20.3553,3517.51,3828.67,1008.5,29,,,,,,20.3553
1984,742.006,15.5901,3775.47,4276.01,1002.67,30,,,,,,15.5901
2112,847.276,15.9184,3692.77,4502.74,1005.48,31,,,,,,15.9184
3072,1008.76,18.036,2838.37,4720.44,1006.68,32,,,,,,18.036
6208,1620.05,22.8026,2564.48,4980.01,1007.26,33,,,,,,22.8026
2048,762.267,15.7559,2486.08,1402.85,1006.93,34,,,,,,15.7559
1408,567.908,13.906,2511.14,1438.92,1007.48,35,,,,,,13.906
1472,595.636,14.1136,3839.48,2192.32,1007.8,36,,,,,,14.1136
3264,1044.34,18.4042,2862.02,2623.26,1008.97,37,,,,,,18.4042
6336,1823.36,22.9583,2654.51,3780.76,1021.27,38,,,,,,22.9583
1344,554.237,13.692,2574.77,3909.39,1006.93,39,,,,,,13.692
4288,1504.94,20.1567,3266.78,4192.42,1010.99,40,,,,,,20.1567
668736,39445.7,108.497,3211.66,4614.68,1057.6,41,,,,,,108.497
1984,741.847,15.5901,2262.83,4595.62,1008.48,42,,,,,,15.5901
1600,643.782,14.5113,2267.44,4732.22,1009.33,43,,,,,,14.5113
87424,10196.2,55.0652,3504.06,4910.97,1029.46,44,,,,,,55.0652
3968,1211.61,19.6422,2576.25,4955.3,1011.38,45,,,,,,19.6422
1792,678.695,15.07,2474.81,1020.25,1011.36,46,,,,,,15.07
3520,1100.96,18.8733,3782.88,1099.76,1012.39,47,,,,,,18.8733
3520,1087.19,18.8733,2236.92,1189.58,1016.9,48,,,,,,18.8733
1536,607.584,14.3152,3175.12,1632.1,1011.26,49,,,,,,14.3152
18816,3459.3,32.9997,3745.57,1640.52,1023.14,50,,,,,,32.9997
2048,754.465,15.7559,2324.33,1985.35,1013.81,51,,,,,,15.7559
5248,1429.01,21.5608,2566.08,2879.44,1014.54,52,,,,,,21.5608
33600,5489.84,40.0357,3685.42,2987.23,1027.4,53,,,,,,40.0357
1344,560.107,13.692,3045.24,3134.53,1010.55,54,,,,,,13.692
2496,867.079,16.8299,2593.93,4058.08,1011.24,55,,,,,,16.8299
6336,1645.44,22.9583,3606.23,4562.86,1016.02,56,,,,,,22.9583
4416,1274.82,20.3553,2300.23,4653.48,1013.02,57,,,,,,20.3553
1856,710.878,15.2473,3090.27,5103.24,1014.24,58,,,,,,15.2473
3072,1009.71,18.036,2515.71,1217.1,1018.43,59,,,,,,18.036
1536,612.733,14.3152,2446.96,1323.94,1018.6,60,,,,,,14.3152
1920,730.699,15.4206,3947.49,1332.3,1019.2,61,,,,,,15.4206
16960,3203.85,31.8769,2889.04,1393.71,1025.35,62,,,,,,31.8769
1984,736.005,15.5901,2638.96,1409.17,1017.77,63,,,,,,15.5901
3008,1178.84,17.9099,2975.04,1596.89,1015.95,64,,,,,,17.9099
2624,915.839,17.1128,2614.27,1666.13,1016.2,65,,,,,,17.1128
28864,4591.31,38.0586,3583.42,2012.19,1028.86,66,,,,,,38.0586
4736,1336.79,20.8355,2295.01,3223.81,1018.77,67,,,,,,20.8355
7104,1761.91,23.8507,3312.58,4235.86,1023,68,,,,,,23.8507
40704,6006.54,42.6789,3836.77,4337.14,1030.08,69,,,,,,42.6789
3200,1069.75,18.2831,2868.48,4635.98,1015.25,70,,,,,,18.2831
2368,840.555,16.5372,2304.47,4832.94,1016.12,71,,,,,,16.5372
39168,5624.07,42.1351,3558.86,4862.08,1029.11,72,,,,,,42.1351
1984,747.848,15.5901,2458.31,5066.97,1015.06,73,,,,,,15.5901
2048,772.308,15.7559,2283.83,5077.98,1014.56,74,,,,,,15.7559
5184,1432.36,21.4728,3956.98,1232.68,1022.54,75,,,,,,21.4728
3008,981.828,17.9099,2354.36,1424.98,1021.23,76,,,,,,17.9099
14848,2911.04,30.4946,2801.53,1479.62,1028.64,77,,,,,,30.4946
3264,1041.69,18.4042,2305.47,1512.04,1022.23,78,,,,,,18.4042
3008,1004.51,17.9099,2452.32,1516.21,1019.61,79,,,,,,17.9099
70272,8349.23,51.199,2804.93,2606.8,1041.78,80,,,,,,51.199
14528,2944.3,30.274,3521.79,3432.05,1026.67,81,,,,,,30.274
213056,20117.6,74.1023,2288.4,3678.71,1047.45,82,,,,,,74.1023
2816,971.84,17.5204,2429.59,3739.28,1020.48,83,,,,,,17.5204
210304,17331.5,73.7819,2977.19,4342.91,1048.84,84,,,,,,73.7819
83008,10332.2,54.122,3636.5,4341.22,1040.71,85,,,,,,54.122
1472,610.668,14.1136,3701.57,4604.49,1019.97,86,,,,,,14.1136
13376,2750.38,29.4516,3961.44,4653.99,1027.93,87,,,,,,29.4516
27584,4458.59,37.4875,2320.16,4685.21,1029.92,88,,,,,,37.4875
3456,1077.35,18.7582,2247.62,4820.66,1022.34,89,,,,,,18.7582
1856,717.31,15.2473,2465.3,4879.93,1021.55,90,,,,,,15.2473
46208,6328.72,44.5218,3182.03,4925.41,1038.52,91,,,,,,44.5218
2304,819.626,16.3868,2397.51,5098.77,1021.6,92,,,,,,16.3868
158784,14988.7,67.1846,3780.63,896.72,1056.51,93,,,,,,67.1846
2240,813.759,16.2337,3792.33,1147.33,1027.39,94,,,,,,16.2337
3328,1074.69,18.5237,3164.96,1410.49,1027.55,95,,,,,,18.5237
1920,720.893,15.4206,2451.09,1452.04,1022.93,96,,,,,,15.4206
1600,658.146,14.5113,3024.24,1814.14,1023.09,97,,,,,,14.5113
2112,775.497,15.9184,3265.99,2676.92,1025.6,98,,,,,,15.9184
8576,2011.52,25.3958,3180.84,4029.76,1029.08,99,,,,,,25.3958
45760,6586.58,44.3775,3732.48,4062.77,1038.39,100,,,,,,44.3775
1600,649.651,14.5113,2199.28,4264.22,1024.53,101,,,,,,14.5113
2432,857.626,16.6848,2847.8,4688.58,1023.04,102,,,,,,16.6848
1536,610.957,14.3152,2334.62,927.269,1028.43,103,,,,,,14.3152
8448,2003.72,25.2688,3772.14,1035.77,1032.6,104,,,,,,25.2688
91008,10380,55.8076,2199.43,1126.72,1052.71,105,,,,,,55.8076
1984,859.304,15.5901,2244.38,1137.17,1030.42,106,,,,,,15.5901
8832,2086.23,25.646,3178.43,1533.28,1033.48,107,,,,,,25.646
3264,1023.23,18.4042,2319.03,1697.53,1028.42,108,,,,,,18.4042
1792,691.849,15.07,3527.53,1732.25,1027.65,109,,,,,,15.07
2112,769.655,15.9184,3055.56,1823.1,1027.54,110,,,,,,15.9184
2176,801.22,16.0776,3748.25,1842.75,1027.4,111,,,,,,16.0776
335616,24541.7,86.2213,3119.45,2060.7,1067.3,112,,,,,,86.2213
61248,8784.61,48.9063,3153.02,2205.98,1051.26,113,,,,,,48.9063
5184,1424.53,21.4728,2647.4,3013.33,1031.87,114,,,,,,21.4728
30400,5519.03,38.7221,3572.98,3519.96,1045.39,115,,,,,,38.7221
21312,3690.27,34.3987,3985.71,3659.14,1039.23,116,,,,,,34.3987
427008,40105.9,93.4285,3348.5,3981.44,1088.57,117,,,,,,93.4285
2176,801.942,16.0776,2926.02,4083.69,1026.93,118,,,,,,16.0776
5184,1425.56,21.4728,2404.44,4354.95,1030.49,119,,,,,,21.4728
2432,861.958,16.6848,2164.75,4716.58,1027.46,120,,,,,,16.6848
3200,1025.91,18.2831,2998.8,4717.74,1029.81,121,,,,,,18.2831
1600,655.466,14.5113,2878.8,4767.58,1029.49,122,,,,,,14.5113
1984,732.815,15.5901,2670.57,4776.26,1027.06,123,,,,,,15.5901
3712,1147.58,19.2104,3692.68,4837.52,1033.41,124,,,,,,19.2104
2752,926.91,17.3867,2215.24,4861.24,1027.86,125,,,,,,17.3867
1536,622.643,14.3152,2283.62,5057.27,1026.43,126,,,,,,14.3152
4096,1221.91,19.8512,3209.83,1082.6,1036.18,127,,,,,,19.8512
1856,706.423,15.2473,3986.68,1081.03,1034.38,128,,,,,,15.2473
206336,18825.2,73.3149,3427.72,1183.7,1064.67,129,,,,,,73.3149
2816,954.796,17.5204,2357.96,1284.28,1034.2,130,,,,,,17.5204
5888,1568.56,22.4039,2471.96,1355.15,1036.37,131,,,,,,22.4039
2752,946.274,17.3867,2483.24,1636.13,1033.16,132,,,,,,17.3867
2880,1046.27,17.6522,2390.69,2071.19,1034.4,133,,,,,,17.6522
45632,6325.08,44.3361,3905.62,3997.92,1046.77,134,,,,,,44.3361
1344,553.569,13.692,2626.77,4063.67,1031.69,135,,,,,,13.692
7296,1815.49,24.0637,2853.83,4076.37,1035.63,136,,,,,,24.0637
2560,1021.37,16.9726,3814.46,4273.8,1033.23,137,,,,,,16.9726
1408,582.836,13.906,2604.59,4277.47,1030.57,138,,,,,,13.906
1728,673.336,14.8884,2205.47,4290.95,1033.6,139,,,,,,14.8884
1600,637.087,14.5113,2250.96,1157.5,1038.61,140,,,,,,14.5113
1792,679.363,15.07,2478.1,1307.25,1035.5,141,,,,,,15.07
1920,732.5,15.4206,2457.22,1601.24,1034.8,142,,,,,,15.4206
2816,936.899,17.5204,2724.41,1854.38,1039.57,143,,,,,,17.5204
2368,822.176,16.5372,3220.47,2453.48,1036.55,144,,,,,,16.5372
79424,9057.79,53.3316,2400.86,2490.17,1055.31,145,,,,,,53.3316
1920,726.632,15.4206,3066.29,3814.3,1035.6,146,,,,,,15.4206
4288,1402.73,20.1567,3863.31,4012.77,1044.72,147,,,,,,20.1567
1344,571.15,13.692,2295.34,4061.01,1034.17,148,,,,,,13.692
4224,1264.39,20.0559,3856.35,4153.71,1038.87,149,,,,,,20.0559
270528,21221.4,80.2425,2305.98,4373.83,1068.96,150,,,,,,80.2425
1920,724.057,15.4206,2896.29,4517.1,1034.53,151,,,,,,15.4206
13312,2728.88,29.4046,2605.19,4601.2,1042.89,152,,,,,,29.4046
1984,751.839,15.5901,4007.86,4668.26,1036.87,153,,,,,,15.5901
18176,3650.13,32.6212,3452.07,4749.06,1044.17,154,,,,,,32.6212
2368,841.513,16.5372,2610.85,5016.18,1038.17,155,,,,,,16.5372
7488,1834.36,24.2729,3553.38,996.299,1044.13,156,,,,,,24.2729
1408,586.288,13.906,2255.68,1025.47,1038.57,157,,,,,,13.906
35200,5256.44,40.6613,2532.07,1086.04,1053.88,158,,,,,,40.6613
1984,732.763,15.5901,2498.18,1178.84,1040.35,159,,,,,,15.5901
1472,589.845,14.1136,2502.61,1387.45,1040.15,160,,,,,,14.1136
14848,3063.12,30.4946,2403.34,1523.5,1047.38,161,,,,,,30.4946
1728,693.623,14.8884,3122.07,3201.03,1041.15,162,,,,,,14.8884
4672,1330.07,20.7412,2299.07,3530.45,1041.45,163,,,,,,20.7412
1472,598.289,14.1136,2498.26,3834.58,1038.58,164,,,,,,14.1136
2368,1022.04,16.5372,2467.17,3948.18,1041.96,165,,,,,,16.5372
13888,2883.34,29.8227,3991.88,4013.15,1050.18,166,,,,,,29.8227
38400,6439.65,41.8579,3265.14,4123.75,1051.62,167,,,,,,41.8579
180736,22250.9,70.148,3182.4,4221.45,1072.77,168,,,,,,70.148
2624,901.343,17.1128,2830.37,4413.83,1043.52,169,,,,,,17.1128
1408,571.439,13.906,3995.32,4492.01,1039.3,170,,,,,,13.906
2048,763.734,15.7559,3266.33,4505.6,1040.93,171,,,,,,15.7559
1408,587.167,13.906,3554.59,4549.47,1038.75,172,,,,,,13.906
7488,1977.87,24.2729,2982.38,4575.48,1046.62,173,,,,,,24.2729
5696,1786.27,22.1577,2171.99,4658.52,1049.45,174,,,,,,22.1577
1984,751.037,15.5901,2539.6,4811.49,1040.48,175,,,,,,15.5901
9856,2233.45,26.6012,3571.53,4957.44,1047.53,176,,,,,,26.6012
1792,831.903,15.07,3737.67,5061.53,1040.5,177,,,,,,15.07
2112,789.941,15.9184,2906.11,5066.01,1038.81,178,,,,,,15.9184
62016,7617.18,49.1098,3456.51,854.653,1064.79,179,,,,,,49.1098
1792,697.664,15.07,3293.24,1292.53,1044.5,180,,,,,,15.07
3264,1045.76,18.4042,2634.72,1526.71,1048.19,181,,,,,,18.4042
2944,956.649,17.782,2661.56,1744.93,1046.24,182,,,,,,17.782
20480,3618.49,33.9451,3723.68,1937.92,1053.86,183,,,,,,33.9451
3520,1079.36,18.8733,2289.28,1986.74,1045.04,184,,,,,,18.8733
1664,646.46,14.7023,2995.26,2154.64,1046.16,185,,,,,,14.7023
16448,3179.84,31.5528,2535.17,2273.42,1056.97,186,,,,,,31.5528
10368,2300.16,27.054,2917.8,3512.39,1051.15,187,,,,,,27.054
1408,583.714,13.906,2313.32,4039.83,1044.02,188,,,,,,13.906
1984,745.916,15.5901,3712.89,4557.3,1046.42,189,,,,,,15.5901
4992,1399.41,21.2044,2381.01,4683.82,1046.78,190,,,,,,21.2044
1472,608.279,14.1136,3511.13,4828.49,1043.8,191,,,,,,14.1136
6912,2087.08,23.6339,2434.47,1115.25,1051.82,192,,,,,,23.6339
1472,604.853,14.1136,3604.35,1279.28,1049.71,193,,,,,,14.1136
4160,1253.81,19.9541,2350.16,1466,1051.3,194,,,,,,19.9541
4864,1360.53,21.0216,2233.85,1513.63,1051.72,195,,,,,,21.0216
1344,620.016,13.692,3154.96,1535.29,1046.55,196,,,,,,13.692
292416,22230.5,82.3508,2956.76,1573.62,1082.47,197,,,,,,82.3508
4608,1318.33,20.6461,2205.62,1780.49,1052.65,198,,,,,,20.6461
1344,565.976,13.692,3688.86,1859.67,1047.88,199,,,,,,13.692
3072,992.743,18.036,2735.21,1891.19,1049.01,200,,,,,,18.036
1792,679.285,15.07,2403.53,2047.39,1047.5,201,,,,,,15.07
99968,11039.6,57.5821,3356.28,2085.82,1075.68,202,,,,,,57.5821
1792,868.749,15.07,2162.67,2797.96,1056.5,203,,,,,,15.07
2688,924.414,17.2508,3934.86,3521.96,1049.69,204,,,,,,17.2508
52288,6788.36,46.3946,3279.35,3908.3,1065.34,205,,,,,,46.3946
2560,979.844,16.9726,2298.56,3917.8,1049.53,206,,,,,,16.9726
261248,28518.3,79.3143,3366.41,4273.01,1095.96,207,,,,,,79.3143
5184,1888.43,21.4728,2387.8,4353.18,1058.49,208,,,,,,21.4728
10048,2259.02,26.7728,3563.01,4377.04,1054.73,209,,,,,,26.7728
24832,5624.08,36.1969,3094.79,4388.95,1059.42,210,,,,,,36.1969
15296,3038.69,30.7983,2672.5,4466.42,1058.53,211,,,,,,30.7983
4096,1228.25,19.8512,2163.64,4616.04,1050.93,212,,,,,,19.8512
1792,684.512,15.07,3786.81,4637.96,1047.5,213,,,,,,15.07
20288,5583.6,33.8387,2207.51,4818.27,1060.04,214,,,,,,33.8387
1536,613.454,14.3152,2164.12,4999.1,1046.6,215,,,,,,14.3152
7616,1943.47,24.4105,3750.79,4996.08,1053.45,216,,,,,,24.4105
1984,751.862,15.5901,2987.73,5081.17,1047.71,217,,,,,,15.5901
2432,837.313,16.6848,2872.43,5117,1048.93,218,,,,,,16.6848
1408,567.908,13.906,3114.41,1091.28,1050.75,219,,,,,,13.906
1600,646.277,14.5113,2448.72,1317.18,1053.81,220,,,,,,14.5113
6080,1577.16,22.6448,2615.42,1346.56,1055.02,221,,,,,,22.6448
1792,696.918,15.07,3736.96,1365.67,1054.5,222,,,,,,15.07
4800,1544.35,20.929,3076.88,1711.48,1056,223,,,,,,20.929
1408,583.741,13.906,3107.14,1973.47,1053.66,224,,,,,,13.906
3392,1052.78,18.6417,2344.84,2205.82,1055.01,225,,,,,,18.6417
16064,3111.04,31.3053,2695.02,2781.94,1061.43,226,,,,,,31.3053
1920,723.258,15.4206,2540.96,4023.1,1054.53,227,,,,,,15.4206
1664,649.677,14.7023,3205.42,4040.18,1051.24,228,,,,,,14.7023
7872,1919.22,24.681,3736.29,4279.53,1056.98,229,,,,,,24.681
33664,5078.53,40.0611,2846.37,4743.16,1064.6,230,,,,,,40.0611
96000,11743.5,56.8099,3537.86,4745.37,1078.01,231,,,,,,56.8099
2240,808.505,16.2337,2791.07,4802.19,1053.67,232,,,,,,16.2337
2112,957.801,15.9184,2559.08,4827.35,1054.93,233,,,,,,15.9184
2560,884.712,16.9726,2355.26,1069,1056.73,234,,,,,,16.9726
1536,619.271,14.3152,2507.62,1117.27,1057.26,235,,,,,,14.3152
2880,945.631,17.6522,2408.82,1142.3,1059.55,236,,,,,,17.6522
3584,1127.08,18.987,2291.67,1652.17,1060.07,237,,,,,,18.987
126912,13866.6,62.3498,3414.89,1877.21,1086.02,238,,,,,,62.3498
1536,622.696,14.3152,2233.79,2622.77,1057.26,239,,,,,,14.3152
4544,1335.14,20.5501,2969.72,3899.72,1058.54,240,,,,,,20.5501
32640,6246.32,39.6507,3503.41,4228.22,1074.77,241,,,,,,39.6507
1472,610.668,14.1136,2603.65,4753.89,1057.71,242,,,,,,14.1136
2368,845.992,16.5372,2968.58,1079.21,1062.72,243,,,,,,16.5372
68224,8544.65,50.6967,3646.56,1182.25,1079.42,244,,,,,,50.6967
1664,661.598,14.7023,2234.19,1427.26,1060.16,245,,,,,,14.7023
1984,733.3,15.5901,4000.76,1525.04,1060.35,246,,,,,,15.5901
1664,651.583,14.7023,3218.49,1706.49,1059.39,247,,,,,,14.7023
20288,3606.36,33.8387,3481.44,1713.88,1072.75,248,,,,,,33.8387
4160,1470.21,19.9541,2576.13,1748.21,1063.61,249,,,,,,19.9541
5056,1388.31,21.2946,2985.99,2332.01,1065.21,250,,,,,,21.2946
125440,12495.1,62.1078,2799.68,3088.33,1087.48,251,,,,,,62.1078
1856,700.501,15.2473,2866.4,3635.1,1060.45,252,,,,,,15.2473
3008,1005.62,17.9099,3066.62,4117.49,1059.44,253,,,,,,17.9099
6656,2085.28,23.3384,3431.8,4413.22,1067.09,254,,,,,,23.3384
