qufu(3).Resampled(3).Label-Analysis(2),,,,,,,,,,13.692,,,,,,,,,21213
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,,13.692,,20,12278,21213,0.578796021,,,,
2752,987.724,17.3867,2784.72,685.149,1004.42,1,,,,13.692,,30,4797,21213,0.226134917,,,,
3264,1075.83,18.4042,2755.03,764.985,1000.11,2,,,,13.692,,40,1612,21213,0.075991138,,,24.56,
3200,1043.13,18.2831,2837.04,969.743,1002.13,3,,,,13.692,,50,888,21213,0.041861123,,,,
1408,609.976,13.906,3846.23,1002.19,1001.84,4,,,,13.692,,60,571,21213,0.026917456,,,,
4992,1748.83,21.2044,2724.6,1091.36,1006.93,5,,,,13.692,,70,436,21213,0.020553434,,,,
3712,1235.32,19.2104,3957.16,1230.28,1004.59,6,,,,13.692,,80,264,21213,0.012445199,,,,
25024,4316.5,36.2899,3599.62,2126.07,1012.19,7,,,,13.692,,90,181,21213,0.008532504,,,,
11264,2442.27,27.8119,3519.89,2909.83,1006,8,,,,13.692,,100,87,21213,0.004101259,,,,
1984,742.674,15.5901,3211.47,4362.72,1002.67,9,,,,13.692,,110,54,21213,0.002545609,,,,
15936,3153.39,31.222,2672.98,4408.34,1007.46,10,,,,13.692,,120,25,21213,0.001178523,,,,
3072,1026.58,18.036,2847.21,4702.69,1000.51,11,,,,13.692,,130,10,21213,0.000471409,,,,
1920,732.867,15.4206,3326.82,1070.7,1005.06,12,,,,13.692,,140,1,21213,4.71409E-05,,,,
1344,556.864,13.692,3990.96,1071.86,1004.07,13,,,,13.692,,150,6,21213,0.000282845,,,,
2816,968.335,17.5204,3945.96,1094.74,1008.2,14,,,,13.692,,160,1,21213,4.71409E-05,,,,
2688,948.127,17.2508,3748.48,1337.2,1009.03,15,,,,13.692,,170,2,21213,9.42818E-05,,,,
2560,935.616,16.9726,3111.36,1660.3,1002.93,16,,,,13.692,,,,,,,,,
6784,1745.95,23.4871,3531.75,1706.88,1007.84,17,,,,13.692,,,,,,,,,
10112,2283.55,26.8295,2325.44,1741.03,1010.73,18,,,,13.692,,,,,,,,,
21376,3902.08,34.4331,2758.91,2060.04,1015.72,19,,,,13.692,,,,,,,,,
7552,1866.54,24.3419,3033.53,2129.65,1011.34,20,,,,13.692,,,,,,,,,
61376,7882.54,48.9403,2847.84,2227.27,1024.1,21,,,,13.692,,,,,,,,,
1536,695.118,14.3152,2250.62,3490.94,1005.6,22,,,,13.692,,,,,,,,,
1856,703.102,15.2473,3422.96,3648.07,1005.41,23,,,,13.692,,,,,,,,,
2688,925.109,17.2508,3216.67,3873.2,1006.26,24,,,,13.692,,,,,,,,,
8832,2215.58,25.646,3425.16,4063.19,1007.97,25,,,,13.692,,,,,,,,,
1792,687.911,15.07,2626.38,4429.67,1003.79,26,,,,13.692,,,,,,,,,
4864,1406.1,21.0216,2888.9,4489.68,1007.51,27,,,,13.692,,,,,,,,,
